id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.05446194225726
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
8737634,Floors,Floor,S(130)=130RC_PPVC,2446354,-1,11.516044939415742,-70.42216640206406,450.18044619422574,19.652527879047682,-55.92069735305384,450.60695538057746,15.584286409231712,-63.17143187755895,450.3937007874016,0,0,0,117.99095551687208,0,0,0,0,0,,,0
8738348,Floors,Floor,S(75)=75RC_PPVC,2446422,-1,10.82706856146251,-77.18076832283232,460.2362204724409,20.30869585805067,-56.084896060856636,460.4822834645669,15.56788220975659,-66.63283219184447,460.3592519685039,0,0,0,185.28990408823125,0,0,0,0,0,,,0
8738378,Floors,Floor,S(140)=140RC_PPVC,2446354,-1,10.334942577210866,-81.11860849449918,449.6391076115486,18.208958325241838,-77.83686455502915,450.0984251968504,14.271950451226353,-79.47773652476417,449.8687664041995,0,0,0,25.12966498516554,0,0,0,0,0,,,0
8740374,Floors,Floor,S(160)=160RC_PPVC,2446354,-1,16.748984293261334,-77.1807683228323,449.8031496062992,19.652527879047682,-72.58736401880542,450.3280839895013,18.200756086154506,-74.88406617081885,450.06561679790025,0,0,0,10.98080513440809,0,0,0,0,0,,,0
8741280,Structural Framing,S_BEAM_PPVC_Top Recess (L),200(W)x210/295(D),-1,-1,19.652527879047682,-77.18076832283231,449.6391076115486,20.308695858050307,-55.5764376141708,450.60695538057746,19.980611868548994,-66.37860296850155,450.12303149606305,21.604330708661514,0,0,0,0,0,0,0,0,,,0
10069319,Floors,Floor,S(195)=195RC_PPVC,2446354,-1,11.516044934610015,-77.18069745539665,449.8031496062992,16.978643085912257,-72.58736401880542,450.4429133858268,14.247344010261136,-74.88403073710103,450.123031496063,0,0,0,24.322983267705737,0,0,0,0,0,,,0
10693233,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,350.39370078740154
