src,dst,type
9223206,11807955,host
9223206,11808265,host
9223206,11809856,host
9223206,11809865,host
9223206,11809889,host
9223365,11811021,host
9223365,11811033,host
9223365,11860015,host
9223365,11860275,host
9223365,11860309,host
9223365,11860317,host
9223365,11860325,host
9223365,11860333,host
9223206,11860487,host
9223206,11860699,host
9223206,11860723,host
9223206,11860772,host
9223402,11925954,host
9223406,11979724,host
11965860,12012920,host
11965860,12015263,host
7949054,8170109,level
2446354,9223188,level
2446422,9223228,level
2446354,9223316,level
2446354,11879058,level
2446354,11891265,level
2446354,11893497,level
2446354,12008593,level
2446354,2446422,adjacent
2446354,7742895,adjacent
2446354,7949054,adjacent
2446354,8170109,adjacent
2446422,7742895,adjacent
2446422,7949054,adjacent
2446422,8170109,adjacent
7742895,7949054,adjacent
7742895,8170109,adjacent
7949054,8170109,adjacent
9223188,9223206,adjacent
9223188,9223365,adjacent
9223188,11858931,adjacent
9223188,11879058,adjacent
9223188,11893497,adjacent
9223206,9223316,adjacent
9223206,9264983,adjacent
9223206,11807286,adjacent
9223206,11807541,adjacent
9223206,11807672,adjacent
9223206,11807955,adjacent
9223206,11808265,adjacent
9223206,11808667,adjacent
9223206,11808713,adjacent
9223206,11808784,adjacent
9223206,11808875,adjacent
9223206,11809134,adjacent
9223206,11809856,adjacent
9223206,11809865,adjacent
9223206,11809889,adjacent
9223206,11858931,adjacent
9223206,11860487,adjacent
9223206,11860699,adjacent
9223206,11860723,adjacent
9223206,11860772,adjacent
9223206,11893497,adjacent
9223206,11965860,adjacent
9223228,9267231,adjacent
9223228,11807286,adjacent
9223228,11807541,adjacent
9223228,11807672,adjacent
9223228,11808667,adjacent
9223228,11808713,adjacent
9223228,11808784,adjacent
9223228,11808875,adjacent
9223228,11809134,adjacent
9223228,11809221,adjacent
9223228,11810174,adjacent
9223228,11810982,adjacent
9223228,11810996,adjacent
9223228,11811008,adjacent
9223228,11811020,adjacent
9223228,11811032,adjacent
9223228,11811044,adjacent
9223228,11831152,adjacent
9223228,11896750,adjacent
9223228,11897076,adjacent
9223228,11897094,adjacent
9223228,11897111,adjacent
9223228,11897186,adjacent
9223228,11897187,adjacent
9223228,11897188,adjacent
9223228,11965860,adjacent
9223228,12017707,adjacent
9223228,12017808,adjacent
9223316,9264983,adjacent
9223316,11879058,adjacent
9223316,11893497,adjacent
9223316,11965860,adjacent
9223365,9264983,adjacent
9223365,11810982,adjacent
9223365,11810996,adjacent
9223365,11811008,adjacent
9223365,11811020,adjacent
9223365,11811021,adjacent
9223365,11811032,adjacent
9223365,11811033,adjacent
9223365,11811044,adjacent
9223365,11831152,adjacent
9223365,11858931,adjacent
9223365,11860015,adjacent
9223365,11860275,adjacent
9223365,11860309,adjacent
9223365,11860317,adjacent
9223365,11860325,adjacent
9223365,11860333,adjacent
9223365,11879058,adjacent
9223365,11891265,adjacent
9223365,11897076,adjacent
9223365,11897094,adjacent
9223365,11897111,adjacent
9223365,11897186,adjacent
9223365,11897187,adjacent
9223365,11897188,adjacent
9223365,11965860,adjacent
9223402,9223404,adjacent
9223402,11810174,adjacent
9223402,11858931,adjacent
9223402,11896750,adjacent
9223402,11925954,adjacent
9223404,9223406,adjacent
9223404,11892108,adjacent
9223404,12008593,adjacent
9223406,11809221,adjacent
9223406,11858931,adjacent
9223406,11979724,adjacent
9223406,12008593,adjacent
9264983,11879058,adjacent
9264983,11891265,adjacent
9264983,11965860,adjacent
11807286,11807955,adjacent
11807541,11808265,adjacent
11807672,11860772,adjacent
11808667,11860723,adjacent
11808713,11809856,adjacent
11808784,11809865,adjacent
11808875,11860699,adjacent
11809134,11860487,adjacent
11809221,11809889,adjacent
11809221,11979724,adjacent
11809889,11979724,adjacent
11810174,11896750,adjacent
11810174,11925954,adjacent
11810982,11860015,adjacent
11810982,11897076,adjacent
11810996,11860275,adjacent
11810996,11897094,adjacent
11811008,11860309,adjacent
11811008,11897111,adjacent
11811020,11811021,adjacent
11811020,11860317,adjacent
11811020,11897186,adjacent
11811021,11860317,adjacent
11811021,11897186,adjacent
11811032,11811033,adjacent
11811032,11860325,adjacent
11811032,11897187,adjacent
11811033,11860325,adjacent
11811033,11897187,adjacent
11811044,11860333,adjacent
11811044,11897188,adjacent
11860015,11897076,adjacent
11860275,11897094,adjacent
11860309,11897111,adjacent
11860317,11897186,adjacent
11860325,11897187,adjacent
11860333,11897188,adjacent
11879058,11891265,adjacent
11879058,11893497,adjacent
11892108,12008593,adjacent
11896750,11925954,adjacent
11965860,12012920,adjacent
11965860,12015263,adjacent
12012920,12015263,adjacent
