id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.0544619422572
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.9632545931758
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.14566929133855
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.87204724409446
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
9223188,Floors,Floor,S(130)=130RC_PPVC,2446354,-1,41.568517274821545,-67.5010014655769,450.1804461942257,49.73782971631895,-52.98434564701685,450.6069553805774,45.65317349557024,-60.24267355629688,450.39370078740154,0,0,0,118.59109698748604,0,0,0,0,0,,,0
9223206,Structural Framing,S_BEAM_PPVC_Top Recess (L),200(W)x295/245(D),-1,-1,49.737829716318814,-73.55521178874908,449.6391076115485,50.39399769532157,-52.96794144754172,450.6069553805774,50.06591370582019,-63.2615766181454,450.12303149606294,20.587270341207244,0,0,0,0,0,0,0,0,,,0
9223228,Floors,Floor,S(75)=75RC_PPVC,2446422,-1,40.91234929581909,-73.55521178874926,460.23622047244083,50.393997695321495,-52.3281776680142,460.4822834645668,45.65317349557029,-62.941694728381734,460.3592519685038,0,0,0,176.6885480260444,0,0,0,0,0,,,0
9223316,Floors,Floor,S(195)=195RC_PPVC,2446354,-1,44.16038079188364,-73.25993619819798,449.80314960629914,49.73782971632073,-69.51977871788272,450.4429133858267,46.949105254102186,-71.38985745804035,450.12303149606294,0,0,0,18.527997928500575,0,0,0,0,0,,,0
9223365,Structural Framing,S_BEAM_PPVC_Top Recess (L),200(W)x295/210(D),-1,-1,40.91234929581892,-73.5552117887492,449.6391076115485,41.568517274823265,-52.96794144754179,450.6069553805774,41.24043328532109,-63.2615766181455,450.12303149606294,20.587270341206676,0,0,0,0,0,0,0,0,,,0
9223402,Structural Framing,S_BEAM_PPVC,200(W)x220(D),-1,-1,40.912349295818935,-52.328177668014575,449.6391076115485,41.56851727482158,-45.61886008271234,450.3608923884514,41.24043328532026,-48.97351887536345,450,6.709317585302237,0,0,0,0,0,0,0,0,,,0
9223404,Structural Framing,S_BEAM_PPVC,250(W)x220(D),-1,-1,40.91234929581757,-46.028965069589006,449.6391076115485,50.393976592405544,-45.208755095835265,450.3608923884514,45.65316294411156,-45.61886008271213,450,9.481627296585145,0,0,0,0,0,0,0,0,,,0
9223406,Structural Framing,S_BEAM_PPVC,200(W)x220(D),-1,-1,49.73780861340146,-52.328177668014206,449.6391076115485,50.39397659240415,-45.97966913429744,450.3608923884514,50.06589260290281,-49.15392340115582,450,6.3485085337167675,0,0,0,0,0,0,0,0,,,0
9264983,Structural Framing,S_BEAM_PPVC_Top Recess (L),200(W)x245/210(D),-1,-1,41.56853837773801,-73.55521178874889,449.6391076115485,49.73782971632073,-72.89904380974579,450.4429133858267,45.65318404702937,-73.22712779924734,450.0410104986876,8.169291338578894,0,0,0,0,0,0,0,0,,,0
9267231,Structural Framing,S_BEAM_PPVC,250(W)x300(D),-1,-1,41.241792496174575,-53.148387641767876,459.4980314960629,50.098701001852625,-52.32817766801416,460.4822834645668,45.6702467490136,-52.73828265489102,459.99015748031485,8.85690850567805,0,0,0,0,0,0,0,0,,,0
11807286,Generic Models,WH_Shearkey Recess_Face Based,30(W)x200(L) Recess,-1,11748814,50.295572498471046,-70.22515929531066,449.62270341207335,50.393997695321566,-69.56899131630793,460.4822834645668,50.3447850968963,-69.8970753058093,455.0524934383201,0,0,0,0,0,0,0,0,0,,,0
11807541,Generic Models,WH_Shearkey Recess_Face Based,30(W)x200(L) Recess,-1,11748814,50.29557249847104,-72.27568422969385,449.62270341207335,50.39399769532156,-71.61951625069112,460.4822834645668,50.3447850968963,-71.94760024019249,455.0524934383201,0,0,0,0,0,0,0,0,0,,,0
11807672,Generic Models,WH_Shearkey Recess_Face Based,30(W)x200(L) Recess,-1,11748814,50.29557249847109,-68.17463436092753,449.62270341207335,50.39399769532161,-67.5184663819248,460.4822834645668,50.344785096896345,-67.84655037142616,455.0524934383201,0,0,0,0,0,0,0,0,0,,,0
11807955,Generic Models,WH_Shearkey Recess_Face Based,30(W)x200(L) Recess,-1,9223206,50.29555139555364,-70.2250359180755,449.58989501312334,50.393976592404044,-69.56886793907277,450.4429133858268,50.344763993978844,-69.89695192857414,450.01640419947506,0,0,0,0,0,0,0,0,0,,,0
