annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
1,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|11709508|9223410
2,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|2446354|9223410
3,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11748005|9223210
4,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11748005|9223408
5,Elevation A,Elevation,Dimensions,Linear Dimension Style,51.02,0.0,0.0,Linear Dimension Style,11749458|11749460
6,Elevation A,Elevation,Dimensions,Linear Dimension Style,46.96,0.0,0.0,Linear Dimension Style,11749458|11749460
7,Elevation A,Elevation,Dimensions,Linear Dimension Style,69.63,0.0,0.0,Linear Dimension Style,11749459|11749460
8,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11709508|2446354|9223410|9223410
9,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11749848|9223410
10,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11749848|9223410
11,Elevation A,Elevation,Dimensions,Linear Dimension Style,51.02,0.0,0.0,Linear Dimension Style,11751862|11751864
12,Elevation A,Elevation,Dimensions,Linear Dimension Style,46.96,0.0,0.0,Linear Dimension Style,11751862|11751864
13,Elevation A,Elevation,Dimensions,Linear Dimension Style,69.63,0.0,0.0,Linear Dimension Style,11751863|11751864
14,Elevation B,Elevation,Dimensions,Linear Dimension Style,51.02,0.0,0.0,Linear Dimension Style,11752270|11752268
15,Elevation B,Elevation,Dimensions,Linear Dimension Style,46.96,0.0,0.0,Linear Dimension Style,11752270|11752268
16,Elevation B,Elevation,Dimensions,Linear Dimension Style,69.63,0.0,0.0,Linear Dimension Style,11752269|11752270
17,Elevation B,Elevation,Dimensions,Linear Dimension Style,51.02,0.0,0.0,Linear Dimension Style,11752281|11752279
18,Elevation B,Elevation,Dimensions,Linear Dimension Style,46.96,0.0,0.0,Linear Dimension Style,11752281|11752279
19,Elevation B,Elevation,Dimensions,Linear Dimension Style,69.63,0.0,0.0,Linear Dimension Style,11752280|11752281
20,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823181|2446354|2446422
21,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823181|10251234|2446422
22,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823181|11823115|2446354|10251234|10251234
23,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,2830.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11710450|11709508
24,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,9223412|11749848|11748005|9223410
25,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11754354|9223281
26,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11754396|9223410
27,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11754396|9223410
28,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|11710450|9223412
29,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11759345|9223410
30,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11759345|9223410
31,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11759345|9223410
32,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|2446354|11823179
