src,dst,type
9267567,11706336,host
10249694,11782282,host
10249694,11782502,host
10249694,11782585,host
10249694,11782588,host
10249694,11782591,host
10249694,11782594,host
11826899,11783684,host
11823115,11823206,host
10249694,11823221,host
11823115,11823223,host
11826899,11823228,host
11823115,11823229,host
11826899,11829709,host
11826899,11829735,host
11826899,11829745,host
11826899,11829753,host
11826899,11829761,host
11826899,11830420,host
11826899,11830515,host
11826899,11831535,host
2446422,11942221,host
2446422,11942431,host
9223441,11949904,host
11823115,11995896,host
11823115,11995961,host
11823115,11996180,host
11826899,11996668,host
11984644,12059416,host
7949054,8170109,level
2446354,9223193,level
2446354,9223281,level
2446422,10251234,level
2446354,11823130,level
2446354,11823139,level
2446354,11823152,level
2446354,11823170,level
2446354,11823191,level
2446354,12060882,level
2446354,2446422,adjacent
2446354,7742895,adjacent
2446354,7949054,adjacent
2446354,8170109,adjacent
2446422,7742895,adjacent
2446422,7949054,adjacent
2446422,8170109,adjacent
7742895,7949054,adjacent
7742895,8170109,adjacent
7949054,8170109,adjacent
9223193,9223210,adjacent
9223193,9223441,adjacent
9223193,9267567,adjacent
9223193,10249694,adjacent
9223193,11823130,adjacent
9223193,11823170,adjacent
9223193,11826899,adjacent
9223193,12008641,adjacent
9223210,9223281,adjacent
9223210,9223408,adjacent
9223210,9223412,adjacent
9223210,9223441,adjacent
9223210,9267567,adjacent
9223210,10249694,adjacent
9223210,11826899,adjacent
9223210,12040982,adjacent
9223281,9223408,adjacent
9223281,9223412,adjacent
9223281,11975866,adjacent
9223281,12040982,adjacent
9223408,9223410,adjacent
9223408,11891873,adjacent
9223408,11975866,adjacent
9223408,12040982,adjacent
9223410,9223412,adjacent
9223410,11891873,adjacent
9223410,12060882,adjacent
9223412,11891873,adjacent
9223412,12040982,adjacent
9223412,12060882,adjacent
9223441,9267567,adjacent
9223441,11706336,adjacent
9223441,11949904,adjacent
9223441,11984644,adjacent
9223441,12059416,adjacent
9267567,11706336,adjacent
9267567,11984644,adjacent
10249694,11782277,adjacent
10249694,11782282,adjacent
10249694,11782501,adjacent
10249694,11782502,adjacent
10249694,11782584,adjacent
10249694,11782585,adjacent
10249694,11782587,adjacent
10249694,11782588,adjacent
10249694,11782590,adjacent
10249694,11782591,adjacent
10249694,11782593,adjacent
10249694,11782594,adjacent
10249694,11823115,adjacent
10249694,11823152,adjacent
10249694,11823199,adjacent
10249694,11823219,adjacent
10249694,11823221,adjacent
10249694,11823229,adjacent
10249694,11823231,adjacent
10249694,12008641,adjacent
10251234,11782770,adjacent
10251234,11783615,adjacent
10251234,11783674,adjacent
10251234,11783677,adjacent
10251234,11783680,adjacent
10251234,11783683,adjacent
10251234,11823199,adjacent
10251234,11823201,adjacent
10251234,11823202,adjacent
10251234,11823204,adjacent
10251234,11823208,adjacent
10251234,11823210,adjacent
10251234,11823211,adjacent
10251234,11823212,adjacent
10251234,11942221,adjacent
10251234,11942431,adjacent
10251234,11949904,adjacent
10251234,11984644,adjacent
10251234,11995005,adjacent
10251234,11995248,adjacent
10251234,12059416,adjacent
10251234,12069929,adjacent
10251234,12070006,adjacent
11706336,11984644,adjacent
11782277,11782282,adjacent
11782501,11782502,adjacent
11782584,11782585,adjacent
11782587,11782588,adjacent
11782590,11782591,adjacent
11782593,11782594,adjacent
11782770,11782987,adjacent
11782770,11826899,adjacent
11782770,11829761,adjacent
11782987,11826899,adjacent
11782987,11829761,adjacent
11783615,11826899,adjacent
11783615,11829753,adjacent
11783674,11826899,adjacent
11783674,11829745,adjacent
11783677,11826899,adjacent
11783677,11829735,adjacent
11783680,11826899,adjacent
11783680,11829709,adjacent
11783683,11783684,adjacent
11783683,11826899,adjacent
11783684,11826899,adjacent
11823115,11823139,adjacent
11823115,11823152,adjacent
11823115,11823191,adjacent
11823115,11823199,adjacent
11823115,11823201,adjacent
11823115,11823202,adjacent
11823115,11823204,adjacent
11823115,11823206,adjacent
11823115,11823223,adjacent
11823115,11823228,adjacent
11823115,11823229,adjacent
11823115,11823231,adjacent
11823115,11826899,adjacent
11823115,11995005,adjacent
11823115,11995248,adjacent
11823115,11995896,adjacent
11823115,11995961,adjacent
11823115,11996125,adjacent
11823115,11996180,adjacent
11823130,11823139,adjacent
11823130,11823152,adjacent
11823130,11823170,adjacent
11823130,12008641,adjacent
11823139,11823152,adjacent
11823139,11823170,adjacent
11823139,11823191,adjacent
11823139,11826899,adjacent
11823152,12008641,adjacent
11823170,11826899,adjacent
11823170,12008641,adjacent
11823191,11826899,adjacent
11823199,11823229,adjacent
11823199,11823231,adjacent
11823201,11995896,adjacent
11823202,11995961,adjacent
11823204,11823206,adjacent
11823204,11823228,adjacent
11823204,11826899,adjacent
11823206,11823228,adjacent
11823206,11826899,adjacent
11823208,11826899,adjacent
11823208,11830420,adjacent
11823210,11826899,adjacent
11823210,11830515,adjacent
11823211,11826899,adjacent
11823211,11831535,adjacent
11823212,11826899,adjacent
11823212,11996668,adjacent
11823219,11823221,adjacent
11823223,11995005,adjacent
11823223,11996125,adjacent
11823223,11996180,adjacent
11823228,11826899,adjacent
11823229,11823231,adjacent
11826899,11829709,adjacent
11826899,11829735,adjacent
11826899,11829745,adjacent
11826899,11829753,adjacent
11826899,11829761,adjacent
11826899,11830420,adjacent
11826899,11830515,adjacent
11826899,11831535,adjacent
11826899,11995248,adjacent
11826899,11996668,adjacent
11826899,12008641,adjacent
11891873,12060882,adjacent
11949904,11984644,adjacent
11949904,12059416,adjacent
11975866,12040982,adjacent
11984644,12059416,adjacent
11995005,11996125,adjacent
11995005,11996180,adjacent
11996125,11996180,adjacent
