src,dst,type
12297800,12297890,host
12297800,12297924,host
12297800,12297925,host
12297800,12297926,host
12298966,12343777,host
12355299,12355550,host
12355299,12355559,host
12355299,12355569,host
12355299,12355577,host
12355299,12355585,host
12355299,12355593,host
12355299,12355601,host
12355299,12355609,host
12355299,12355617,host
12297761,12376512,host
12297766,12378240,host
12298966,12401127,host
12298966,12401378,host
12378632,12403661,host
12297800,12404737,host
12297816,12404944,host
12297761,12405338,host
7949054,8170109,level
2446354,12297761,level
2446422,12297773,level
2446354,12297782,level
2446354,12297792,level
2446354,12297897,level
2446354,12297907,level
2446354,2446422,adjacent
2446354,7742895,adjacent
2446354,7949054,adjacent
2446354,8170109,adjacent
2446354,8628934,adjacent
2446354,10693233,adjacent
2446354,10693547,adjacent
2446354,10912740,adjacent
2446354,10912767,adjacent
2446354,10912803,adjacent
2446354,10912852,adjacent
2446354,10912869,adjacent
2446354,10912886,adjacent
2446354,10913080,adjacent
2446354,10913081,adjacent
2446354,10913082,adjacent
2446354,10913083,adjacent
2446354,10913084,adjacent
2446354,10913085,adjacent
2446354,10913086,adjacent
2446354,10913087,adjacent
2446354,10913092,adjacent
2446354,10913109,adjacent
2446354,10913126,adjacent
2446354,10913143,adjacent
2446354,10913160,adjacent
2446354,10913177,adjacent
2446354,10913194,adjacent
2446354,10913211,adjacent
2446354,10913228,adjacent
2446354,10913245,adjacent
2446354,10913262,adjacent
2446354,10913279,adjacent
2446354,10913296,adjacent
2446354,10913313,adjacent
2446354,10913330,adjacent
2446354,10913347,adjacent
2446354,10913364,adjacent
2446354,10913381,adjacent
2446354,10913398,adjacent
2446354,12054215,adjacent
2446354,12054279,adjacent
2446422,7742895,adjacent
2446422,7949054,adjacent
2446422,8170109,adjacent
2446422,8628934,adjacent
2446422,10693233,adjacent
2446422,10693547,adjacent
2446422,10912740,adjacent
2446422,10912767,adjacent
2446422,10912803,adjacent
2446422,10912852,adjacent
2446422,10912869,adjacent
2446422,10912886,adjacent
2446422,10913080,adjacent
2446422,10913081,adjacent
2446422,10913082,adjacent
2446422,10913083,adjacent
2446422,10913084,adjacent
2446422,10913085,adjacent
2446422,10913086,adjacent
2446422,10913087,adjacent
2446422,10913092,adjacent
2446422,10913109,adjacent
2446422,10913126,adjacent
2446422,10913143,adjacent
2446422,10913160,adjacent
2446422,10913177,adjacent
2446422,10913194,adjacent
2446422,10913211,adjacent
2446422,10913228,adjacent
2446422,10913245,adjacent
2446422,10913262,adjacent
2446422,10913279,adjacent
2446422,10913296,adjacent
2446422,10913313,adjacent
2446422,10913330,adjacent
2446422,10913347,adjacent
2446422,10913364,adjacent
2446422,10913381,adjacent
2446422,10913398,adjacent
2446422,12054215,adjacent
2446422,12054279,adjacent
7742895,7949054,adjacent
7742895,8170109,adjacent
7742895,8628934,adjacent
7742895,10693233,adjacent
7742895,10693547,adjacent
7742895,10912740,adjacent
7742895,10912767,adjacent
7742895,10912803,adjacent
7742895,10912852,adjacent
7742895,10912869,adjacent
7742895,10912886,adjacent
7742895,10913080,adjacent
7742895,10913081,adjacent
7742895,10913082,adjacent
7742895,10913083,adjacent
7742895,10913084,adjacent
7742895,10913085,adjacent
7742895,10913086,adjacent
7742895,10913087,adjacent
7742895,10913092,adjacent
7742895,10913109,adjacent
7742895,10913126,adjacent
7742895,10913143,adjacent
7742895,10913160,adjacent
7742895,10913177,adjacent
7742895,10913194,adjacent
7742895,10913211,adjacent
7742895,10913228,adjacent
7742895,10913245,adjacent
7742895,10913262,adjacent
7742895,10913279,adjacent
7742895,10913296,adjacent
7742895,10913313,adjacent
7742895,10913330,adjacent
7742895,10913347,adjacent
7742895,10913364,adjacent
7742895,10913381,adjacent
7742895,10913398,adjacent
7742895,12054215,adjacent
7742895,12054279,adjacent
7949054,8170109,adjacent
7949054,8628934,adjacent
7949054,10693233,adjacent
7949054,10693547,adjacent
7949054,10912740,adjacent
7949054,10912767,adjacent
7949054,10912803,adjacent
7949054,10912852,adjacent
7949054,10912869,adjacent
7949054,10912886,adjacent
7949054,10913080,adjacent
7949054,10913081,adjacent
7949054,10913082,adjacent
7949054,10913083,adjacent
7949054,10913084,adjacent
7949054,10913085,adjacent
7949054,10913086,adjacent
7949054,10913087,adjacent
7949054,10913092,adjacent
7949054,10913109,adjacent
7949054,10913126,adjacent
7949054,10913143,adjacent
7949054,10913160,adjacent
7949054,10913177,adjacent
7949054,10913194,adjacent
7949054,10913211,adjacent
7949054,10913228,adjacent
7949054,10913245,adjacent
7949054,10913262,adjacent
7949054,10913279,adjacent
7949054,10913296,adjacent
7949054,10913313,adjacent
7949054,10913330,adjacent
7949054,10913347,adjacent
7949054,10913364,adjacent
7949054,10913381,adjacent
7949054,10913398,adjacent
7949054,12054215,adjacent
7949054,12054279,adjacent
8170109,8628934,adjacent
8170109,10693233,adjacent
8170109,10693547,adjacent
8170109,10912740,adjacent
8170109,10912767,adjacent
8170109,10912803,adjacent
8170109,10912852,adjacent
8170109,10912869,adjacent
8170109,10912886,adjacent
8170109,10913080,adjacent
8170109,10913081,adjacent
8170109,10913082,adjacent
8170109,10913083,adjacent
8170109,10913084,adjacent
8170109,10913085,adjacent
8170109,10913086,adjacent
8170109,10913087,adjacent
8170109,10913092,adjacent
8170109,10913109,adjacent
8170109,10913126,adjacent
8170109,10913143,adjacent
8170109,10913160,adjacent
8170109,10913177,adjacent
8170109,10913194,adjacent
8170109,10913211,adjacent
8170109,10913228,adjacent
8170109,10913245,adjacent
8170109,10913262,adjacent
8170109,10913279,adjacent
8170109,10913296,adjacent
8170109,10913313,adjacent
8170109,10913330,adjacent
8170109,10913347,adjacent
8170109,10913364,adjacent
8170109,10913381,adjacent
8170109,10913398,adjacent
8170109,12054215,adjacent
8170109,12054279,adjacent
