element_id,predicted_label_expected,predicted_label_realppvc,confidence,annotation_type,expected_label_name,realppvc_label_name
8738846,0,1,0.99796236,dimension,no_annotation,dimension
8738850,0,1,0.60855573,dimension,no_annotation,dimension
9258321,0,1,0.91957694,dimension,no_annotation,dimension
10185183,3,1,0.98499346,dimension,both,dimension
10693233,2,0,0.56207,no_annotation,text,no_annotation
10693547,2,0,0.56207,no_annotation,text,no_annotation
10912740,2,0,0.56207,no_annotation,text,no_annotation
12213676,0,1,0.8230039,dimension,no_annotation,dimension
12225987,2,1,0.40752682,dimension,text,dimension
12225988,0,2,0.62082183,text,no_annotation,text
12225989,0,2,0.6470296,text,no_annotation,text
12225999,2,0,0.72919416,no_annotation,text,no_annotation
12226004,2,0,0.72919416,no_annotation,text,no_annotation
12226276,0,2,0.6294638,text,no_annotation,text
12226278,0,2,0.7024935,text,no_annotation,text
12226279,0,2,0.7023385,text,no_annotation,text
12226280,0,2,0.6824402,text,no_annotation,text
12226281,0,2,0.70054156,text,no_annotation,text
12226283,0,2,0.70130545,text,no_annotation,text
12228472,0,2,0.9015658,text,no_annotation,text
12228583,0,2,0.95823383,text,no_annotation,text
12229987,2,0,0.978388,no_annotation,text,no_annotation
12244146,0,2,0.9015658,text,no_annotation,text
12244398,0,2,0.62946373,text,no_annotation,text
12244415,0,2,0.6824404,text,no_annotation,text
12244432,0,2,0.70054156,text,no_annotation,text
12244499,0,2,0.72750276,text,no_annotation,text
12244500,0,2,0.7024934,text,no_annotation,text
12244501,0,2,0.7023385,text,no_annotation,text
12244502,0,2,0.70130545,text,no_annotation,text
12246086,0,2,0.7280959,text,no_annotation,text
12281061,0,1,0.5551906,dimension,no_annotation,dimension
12308203,1,3,0.7325417,both,dimension,both
12319450,0,1,0.64157367,dimension,no_annotation,dimension
12358454,2,1,0.92454547,dimension,text,dimension
12358918,0,1,0.9858418,dimension,no_annotation,dimension
12360051,0,2,0.6310984,text,no_annotation,text
12360527,0,1,0.6534463,dimension,no_annotation,dimension
12361458,0,2,0.6798921,text,no_annotation,text
12361466,0,2,0.7242148,text,no_annotation,text
12361474,0,2,0.742305,text,no_annotation,text
12361482,0,2,0.7655235,text,no_annotation,text
12361490,0,2,0.7439447,text,no_annotation,text
12361498,0,2,0.74363494,text,no_annotation,text
12361506,0,2,0.7280959,text,no_annotation,text
12361689,0,2,0.7280959,text,no_annotation,text
12371101,0,1,0.92908365,dimension,no_annotation,dimension
12371201,0,1,0.6674828,dimension,no_annotation,dimension
12372105,3,1,0.8857054,dimension,both,dimension
12392218,3,1,0.7616823,dimension,both,dimension
12411509,3,1,0.6046691,dimension,both,dimension
12433331,1,3,0.9584426,both,dimension,both
12433711,1,3,0.967315,both,dimension,both
12441078,0,1,0.61763483,dimension,no_annotation,dimension
12441637,0,1,0.607939,dimension,no_annotation,dimension
12445015,3,2,0.43790588,text,both,text
12449924,0,3,0.6457443,both,no_annotation,both
